cited_in_body,defined_not_cited,domain,error,file,final_url,http_status,ref_number,title,url
True,False,lumalabs.ai,,character_consistency_research_report.md,https://lumalabs.ai/learning-center/articles/character-and-object-consistency,200,1,Luma AI — Character and Object Consistency,https://lumalabs.ai/learning-center/articles/character-and-object-consistency
True,False,kling.ai,,character_consistency_research_report.md,https://kling.ai/quickstart/klingai-element-library-3-user-guide,200,2,Kling AI — Element Library User Guide,https://kling.ai/quickstart/klingai-element-library-3-user-guide
True,False,help.runwayml.com,,character_consistency_research_report.md,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References,403,3,Runway — Creating with Gen-4 Image References,https://help.runwayml.com/hc/en-us/articles/40042718905875-Creating-with-Gen-4-Image-References
True,False,ai.google.dev,,character_consistency_research_report.md,https://ai.google.dev/gemini-api/docs/image-generation,200,4,Google AI — Gemini API Image Generation,https://ai.google.dev/gemini-api/docs/image-generation
True,False,developers.openai.com,,character_consistency_research_report.md,https://developers.openai.com/api/docs/guides/video-generation,200,5,OpenAI — Video Generation with Sora,https://developers.openai.com/api/docs/guides/video-generation
True,False,docs.bfl.ml,,character_consistency_research_report.md,https://docs.bfl.ml/flux_2/flux2_image_editing,200,6,Black Forest Labs — FLUX.2 Image Editing,https://docs.bfl.ml/flux_2/flux2_image_editing
True,False,platform.minimax.io,,character_consistency_research_report.md,https://platform.minimax.io/docs/guides/video-generation,200,7,MiniMax — Video Generation,https://platform.minimax.io/docs/guides/video-generation
True,False,ip-adapter.github.io,,character_consistency_research_report.md,https://ip-adapter.github.io/,200,8,IP-Adapter Project Page,https://ip-adapter.github.io/
True,False,developer.adobe.com,,character_consistency_research_report.md,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/,200,9,Adobe Firefly Services — Structure Reference Images,https://developer.adobe.com/firefly-services/docs/firefly-api/guides/concepts/structure-image-reference/
True,False,lumalabs.ai,,character_consistency_research_report.md,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts,200,10,Luma AI — Ray 3.2 Introduction and Core Concepts,https://lumalabs.ai/learning-center/articles/ray-3-2-introduction-and-core-concepts
True,False,help.runwayml.com,,character_consistency_research_report.md,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two,403,11,Runway — Performance Capture with Act-Two,https://help.runwayml.com/hc/en-us/articles/42311337895827-Performance-Capture-with-Act-Two
True,False,docs.midjourney.com,,character_consistency_research_report.md,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference,403,12,Midjourney — Omni Reference,https://docs.midjourney.com/hc/en-us/articles/36285124473997-Omni-Reference
True,False,developers.openai.com,,character_consistency_research_report.md,https://developers.openai.com/api/docs/guides/image-generation,200,13,OpenAI — Image Generation,https://developers.openai.com/api/docs/guides/image-generation
True,False,kling.ai,,character_consistency_research_report.md,https://kling.ai/document-api/api/image/3-0-omni/image-generation,200,14,Kling AI API — Image Generation,https://kling.ai/document-api/api/image/3-0-omni/image-generation
True,False,arxiv.org,,character_consistency_research_report.md,https://arxiv.org/abs/1801.07698,200,15,Deng et al. — ArcFace,https://arxiv.org/abs/1801.07698
True,False,arxiv.org,,character_consistency_research_report.md,https://arxiv.org/abs/2204.00964,200,16,Kim et al. — AdaFace,https://arxiv.org/abs/2204.00964
True,False,arxiv.org,,character_consistency_research_report.md,https://arxiv.org/html/2505.11425v1,200,17,Podstawski et al. — Face Consistency Benchmark for GenAI Video,https://arxiv.org/html/2505.11425v1
True,False,dreambooth.github.io,,character_consistency_research_report.md,https://dreambooth.github.io/,200,18,DreamBooth Project Page,https://dreambooth.github.io/
